state1,count,prob
1.0,56974012,0.32564071743823564
0.0,43161254,0.24669250461234707
2.0,29552098,0.16890799957224442
3.0,17217056,0.09840582172823427
4.0,10430198,0.05961484965711824
5.0,6427804,0.03673876268556198
6.0,4025084,0.023005773957241474
7.0,2545652,0.014549931004123063
8.0,1620106,0.009259879401962955
9.0,1034242,0.0059113145636427306
10.0,665560,0.003804075372087051
11.0,430034,0.0024579027413908334
12.0,284630,0.0016268315000257487
13.0,188536,0.001077596541787073
14.0,126538,0.0007232407137345262
