state1,state2,state3,count,prob,0.99,0.9953584111663872,0.9978455653099682,0.999,0.9995358411166387,0.9997845565309968,0.9999,0.9999535841116639,0.9999784556530997,0.99999
1.0,1.0,2.0,2085844,0.01192185195987671,9.122500244760886,10.096659284085035,11.240257608704269,12.486470732372254,13.905053219990805,15.674226478673518,17.60106517490931,20.039423084352165,22.055322569794953,23.93402388691902
1.0,2.0,2.0,2085394,0.011919279939446636,10.42767580319196,11.446673169732094,12.577478543389589,13.925942551344633,15.60843207500875,17.300326342810877,19.581890422385186,21.968109470326453,24.985284325666726,29.308269929373637
1.0,2.0,1.0,1990198,0.011375177590866195,9.762668040581048,10.775391217321157,11.920704402960837,13.245696252211928,14.870555949397385,16.70307558774948,19.129971927963197,21.903146347030997,25.346563887782395,27.997034911997616
1.0,1.0,3.0,1906546,0.010897056139718551,10.184821173315868,11.166175625286996,12.374568886123598,13.68646577373147,15.23327066656202,17.06573655596003,19.13828546833247,22.791564910672605,27.363350079394877,32.190104574430734
1.0,2.0,3.0,1722194,0.0098433736723302,11.438692957628518,12.469607801642269,13.604137625079602,14.968417881987989,16.37348539941013,18.068591685034335,20.11346293054521,22.51719695702195,24.607107306132093,27.055851620156318
1.0,3.0,1.0,1709032,0.00976814493255105,11.163021881133318,12.206920829601586,13.371226550079882,14.775185897015035,16.51147430203855,18.402564578689635,20.909924148581922,24.054242654703557,28.514642419759184,32.25015626347158
1.0,3.0,2.0,1630634,0.009320053248824744,11.74559851642698,12.804062134586275,13.980069544166327,15.367815242148936,16.840354218613356,18.50614610617049,21.463529102038592,24.05572004104033,26.866844025906175,29.381915147416294
1.0,1.0,4.0,1606364,0.00918133561362949,11.35046950681135,12.372844861354679,13.492165172938257,14.767005037516356,16.239274353720248,17.914359405403957,19.880541226593778,22.562730920966715,27.579810820519924,29.826242010574788
1.0,1.0,1.0,1594482,0.00911342284307366,8.54277836671099,9.50270979385823,10.595828884281218,11.802034481894225,13.158883418887854,14.802283338271081,16.646175738889724,18.94693025771994,20.991986538283527,27.087301310151815
0.0,2.0,2.0,1516108,0.008665468333770292,8.967371293460019,9.937940416391939,11.014398777624592,12.188140673562884,13.506196434609592,14.914575138129294,16.90429801819846,19.062606368912384,21.852749369572848,24.48354355432093
0.0,3.0,2.0,1405866,0.00803536905321013,10.317536218557507,11.29010735731572,12.377956851385534,13.573413190664724,15.125252716243267,16.964323816355318,18.849383662687615,21.066300431266427,23.745519399177283,26.16907174140215
0.0,2.0,3.0,1393246,0.00796323816914898,10.084092068951577,11.041513682343066,12.154719670303166,13.324706529732794,14.7665649370756,16.335845881374553,17.878510704264045,20.041579687502235,23.420847671106458,26.201007086317986
2.0,1.0,2.0,1376366,0.007866758825016477,10.679612915031612,11.707873236387968,12.920963928103447,14.2960061179474,15.855906937737018,17.7826687740162,20.05900347791612,22.622235066257417,25.156045449897647,28.081949917133898
1.0,2.0,4.0,1357548,0.007759202646231793,12.632434306666255,13.662260981276631,14.742686340585351,16.055304589681327,17.805741030257195,19.770777387544513,21.687010091729462,23.38943670480512,25.061944835120812,27.217707170173526
1.0,4.0,1.0,1351986,0.0077274124737160945,12.57830173149705,13.68846704158932,14.945883189095184,16.3104009461822,17.796352131292224,19.515558185521513,21.537161157932132,25.43877806002274,30.393863094504923,32.919439723715186
0.0,3.0,1.0,1320384,0.007546788052313524,9.692781770369038,10.667626062175259,11.766044556396082,13.000759687274694,14.388395067071542,16.29978861613199,18.415067966561764,21.475297095254064,22.83702261466533,25.24980692565441
2.0,1.0,1.0,1316936,0.007527080660218211,10.242664888501167,11.259278470650315,12.409941975958645,13.685888408916071,15.442045514471829,17.309005218558013,19.716125333448872,21.577148581855,24.203552410937846,25.894177672453225
1.0,1.0,5.0,1291530,0.007381870102337263,12.62485467782244,13.62216016696766,14.745332255028188,16.096980156376958,17.687932484783232,20.123952412977815,22.17568976432085,24.896282646805048,28.989935230463743,30.293267250061035
2.0,2.0,1.0,1263746,0.00722306784538362,11.314897894859314,12.399993199622259,13.64301894325763,15.157840880565345,16.804566248320043,18.538761097937822,20.597797924652696,24.759139883331954,28.967353663872927,41.559427781030536
1.0,3.0,3.0,1249684,0.007142695064744327,12.741596778389066,13.796305450610816,15.02320547378622,16.363168659852818,17.822416173759848,19.99597678380087,22.052317631430924,23.972918092273176,28.167414753697813,33.54784283135086
1.0,4.0,2.0,1208334,0.0069063549652254265,13.130281385965645,14.254780149552971,15.48184475209564,16.881690443959087,18.6991933779791,20.658013058593497,22.291599173098803,25.82182315411046,28.288269512355328,32.18996763974428
0.0,4.0,1.0,1174232,0.006711441541433563,11.144571575336158,12.15783856692724,13.293082332238555,14.605066942982376,16.265632705762982,17.956361376680434,20.032540041720495,23.65791278705001,28.54503215616569,31.539158164989203
0.0,2.0,4.0,1170190,0.0066883390823705546,11.322966182604432,12.28507448732853,13.4161655344069,14.70485237101093,16.133450702182017,17.806383126415312,19.45739168790169,21.21768172911834,24.547237645369023,25.38641957566142
0.0,2.0,1.0,1168132,0.006676576375603689,8.20645036722999,9.117449220269918,10.188684703665785,11.407613498391584,12.756264020688832,14.35631280951202,16.038797821849585,18.034512635786086,20.61733975308016,24.150781789794564
0.0,3.0,3.0,1164604,0.0066564117354319195,11.4593063602224,12.46710248827003,13.550087176263332,14.942843509139493,16.291308466345072,18.180823341477662,20.74285082053393,24.842055971734226,28.554320918396115,33.28936063172296
2.0,2.0,2.0,1162148,0.006642374219484678,11.853938810527325,12.950589314568788,14.124651563819498,15.469043992459774,17.03266268968582,18.720798056572676,21.162922961171716,23.83616393711418,27.03542543295771,32.33027725992724
0.0,4.0,2.0,1129820,0.006457600271788257,11.747995004057884,12.790846183197573,13.942384506575763,15.17174686677754,16.62889612140134,18.11035879771225,20.296597984153777,22.17607191496063,23.9837104936596,30.93771939817816
2.0,1.0,3.0,1113670,0.006365293316353426,11.598134350031614,12.652689513284713,13.760740115307271,15.095312423771247,16.521590075222775,18.247898395638913,20.387524769175798,24.16504993569106,27.15891925431788,29.352155978325754
1.0,2.0,5.0,1038972,0.005938349356163272,13.889106307178736,14.972680218052119,16.141219451092184,17.593580253771506,19.289004711434245,21.322840061970055,24.064981470815837,25.563246132805943,29.297860572114587,35.40854809805751
