state1,state2,state3,count,prob
1.0,1.0,2.0,2085844,0.01192185195987671
1.0,2.0,2.0,2085394,0.011919279939446636
1.0,2.0,1.0,1990198,0.011375177590866195
1.0,1.0,3.0,1906546,0.010897056139718551
1.0,2.0,3.0,1722194,0.0098433736723302
1.0,3.0,1.0,1709032,0.00976814493255105
1.0,3.0,2.0,1630634,0.009320053248824744
1.0,1.0,4.0,1606364,0.00918133561362949
1.0,1.0,1.0,1594482,0.00911342284307366
0.0,2.0,2.0,1516108,0.008665468333770292
0.0,3.0,2.0,1405866,0.00803536905321013
0.0,2.0,3.0,1393246,0.00796323816914898
2.0,1.0,2.0,1376366,0.007866758825016477
1.0,2.0,4.0,1357548,0.007759202646231793
1.0,4.0,1.0,1351986,0.0077274124737160945
0.0,3.0,1.0,1320384,0.007546788052313524
2.0,1.0,1.0,1316936,0.007527080660218211
1.0,1.0,5.0,1291530,0.007381870102337263
2.0,2.0,1.0,1263746,0.00722306784538362
1.0,3.0,3.0,1249684,0.007142695064744327
1.0,4.0,2.0,1208334,0.0069063549652254265
0.0,4.0,1.0,1174232,0.006711441541433563
0.0,2.0,4.0,1170190,0.0066883390823705546
0.0,2.0,1.0,1168132,0.006676576375603689
0.0,3.0,3.0,1164604,0.0066564117354319195
2.0,2.0,2.0,1162148,0.006642374219484678
0.0,4.0,2.0,1129820,0.006457600271788257
2.0,1.0,3.0,1113670,0.006365293316353426
1.0,2.0,5.0,1038972,0.005938349356163272
1.0,5.0,1.0,1020764,0.005834279693961576
1.0,1.0,6.0,1005454,0.005746773843329548
3.0,1.0,1.0,990686,0.005662365848415518
0.0,5.0,1.0,951996,0.005441229247438825
0.0,2.0,5.0,944782,0.005399996902144282
2.0,3.0,1.0,940908,0.005377854664041834
1.0,3.0,4.0,935530,0.005347116162101988
0.0,3.0,4.0,918212,0.00524813338475088
3.0,1.0,2.0,912050,0.005212913851661751
1.0,4.0,3.0,883422,0.005049287627501483
2.0,2.0,3.0,876358,0.005008912622350297
1.0,5.0,2.0,873590,0.0049930918389048725
0.0,4.0,3.0,872806,0.004988610807755591
2.0,1.0,4.0,872212,0.004985215740787895
0.0,5.0,2.0,859136,0.004910478542690938
3.0,2.0,1.0,848704,0.004850853393520898
2.0,3.0,2.0,812258,0.004642542601088834
0.0,1.0,3.0,795062,0.004544257127054323
1.0,2.0,6.0,783070,0.004475715640393363
1.0,1.0,7.0,763904,0.0043661704324760905
1.0,6.0,1.0,747696,0.004273531972185828
0.0,2.0,6.0,734916,0.004200486591971764
0.0,1.0,4.0,734780,0.004199709270241787
0.0,6.0,1.0,725386,0.00414601691486378
0.0,1.0,2.0,713848,0.004080070311036717
4.0,1.0,1.0,708364,0.004048725955395564
3.0,2.0,2.0,708176,0.00404765142241589
0.0,3.0,5.0,705508,0.004032402199066036
1.0,3.0,5.0,694780,0.003971085232013104
3.0,1.0,3.0,676088,0.0038642492189488406
2.0,4.0,1.0,673608,0.003850074528578662
